Thread   Start(us)  B/E     Dur(us)  Name/Detail
 40346  2722402729  BEG        7162  AnnotateKernels
 40346  2722409892  END        7162  AnnotateKernels
 40346  2722409897  BEG        2002  VerifyKernels
 40346  2722411899  END        2002  VerifyKernels
 40346  2722411904  BEG       12165  LowerSemanticCF
 40346  2722424069  END       12165  LowerSemanticCF
 40346  2722424074  BEG      141006  CheckLifetimes
 40346  2722430197  BEG          29  (A) SymbolTableAnalysis
 40346  2722430227  END          29  (A) SymbolTableAnalysis
 40346  2722565080  END      141006  CheckLifetimes
